postal_code,county,state_name,state_abb,county_FIPS,state_FIPS,postal_population,population_fraction,counties_in_postal_code,usps_city_name
35004,St. Clair County,Alabama,AL,01115,1,11558,1,1,Moody
35005,Jefferson County,Alabama,AL,01073,1,8143,1,1,Adamsville
35006,Tuscaloosa County,Alabama,AL,01125,1,3599,0.02,3,Adger
35006,Walker County,Alabama,AL,01127,1,3599,0.05,3,Adger
35006,Jefferson County,Alabama,AL,01073,1,3599,0.93,3,Adger
35007,Shelby County,Alabama,AL,01117,1,27935,1,1,Alabaster
35010,Tallapoosa County,Alabama,AL,01123,1,19619,0.83,3,Alexander City
35010,Coosa County,Alabama,AL,01037,1,19619,0.12,3,Alexander City
35010,Elmore County,Alabama,AL,01051,1,19619,0.05,3,Alexander City
35011,Tallapoosa County,Alabama,AL,01123,1,,1,1,Alexander City
35013,Blount County,Alabama,AL,01009,1,122,0,1,Allgood
35014,Talladega County,Alabama,AL,01121,1,3353,1,1,Alpine
35015,Jefferson County,Alabama,AL,01073,1,,0,1,Alton
35016,Cullman County,Alabama,AL,01043,1,17435,0.12,4,Arab
35016,Morgan County,Alabama,AL,01103,1,17435,0,4,Arab
35016,Marshall County,Alabama,AL,01095,1,17435,0.86,4,Arab
35016,Blount County,Alabama,AL,01009,1,17435,0.02,4,Arab
35019,Morgan County,Alabama,AL,01103,1,2497,0.17,2,Baileyton
35019,Cullman County,Alabama,AL,01043,1,2497,0.83,2,Baileyton
35020,Jefferson County,Alabama,AL,01073,1,25308,1,1,Bessemer
35021,Jefferson County,Alabama,AL,01073,1,,1,1,Bessemer
35022,Shelby County,Alabama,AL,01117,1,23989,0.03,2,Bessemer
35022,Jefferson County,Alabama,AL,01073,1,23989,0.97,2,Bessemer
35023,Jefferson County,Alabama,AL,01073,1,25221,1,1,Bessemer
35031,Marshall County,Alabama,AL,01095,1,7937,0,2,Blountsville
35031,Blount County,Alabama,AL,01009,1,7937,1,2,Blountsville
35032,Talladega County,Alabama,AL,01121,1,78,0,1,Bon Air
35033,Cullman County,Alabama,AL,01043,1,3237,0.93,2,Bremen
35033,Walker County,Alabama,AL,01127,1,3237,0.07,2,Bremen
35034,Bibb County,Alabama,AL,01007,1,5132,0.97,2,Brent
35034,Perry County,Alabama,AL,01105,1,5132,0.03,2,Brent
35035,Chilton County,Alabama,AL,01021,1,933,0,3,Brierfield
35035,Bibb County,Alabama,AL,01007,1,933,0.98,3,Brierfield
35035,Shelby County,Alabama,AL,01117,1,933,0.02,3,Brierfield
35036,Jefferson County,Alabama,AL,01073,1,175,1,1,Brookside
35038,Walker County,Alabama,AL,01127,1,,0,1,Burnwell
35040,Shelby County,Alabama,AL,01117,1,18819,0.95,2,Calera
35040,Chilton County,Alabama,AL,01021,1,18819,0.05,2,Calera
35042,Bibb County,Alabama,AL,01007,1,5681,0.98,2,Centreville
35042,Perry County,Alabama,AL,01105,1,5681,0.02,2,Centreville
35043,Shelby County,Alabama,AL,01117,1,15068,1,1,Chelsea
35044,Talladega County,Alabama,AL,01121,1,8225,1,1,Childersburg
35045,Chilton County,Alabama,AL,01021,1,15078,1,1,Clanton
35046,Coosa County,Alabama,AL,01037,1,5229,0.05,2,Clanton
35046,Chilton County,Alabama,AL,01021,1,5229,0.95,2,Clanton
35048,Jefferson County,Alabama,AL,01073,1,,1,1,Clay
35049,Blount County,Alabama,AL,01009,1,4334,1,1,Cleveland
35051,Shelby County,Alabama,AL,01117,1,10101,1,1,Columbiana
35052,St. Clair County,Alabama,AL,01115,1,214,0,1,Cook Springs
35053,Cullman County,Alabama,AL,01043,1,2890,0.84,2,Crane Hill
35053,Winston County,Alabama,AL,01133,1,2890,0.16,2,Crane Hill
35054,St. Clair County,Alabama,AL,01115,1,4954,1,1,Cropwell
35055,Cullman County,Alabama,AL,01043,1,23231,1,1,Cullman
35056,Cullman County,Alabama,AL,01043,1,,1,1,Cullman
35057,Cullman County,Alabama,AL,01043,1,15514,1,2,Cullman
35057,Winston County,Alabama,AL,01133,1,15514,0,2,Cullman
35058,Morgan County,Alabama,AL,01103,1,11003,0,2,Cullman
35058,Cullman County,Alabama,AL,01043,1,11003,1,2,Cullman
35060,Jefferson County,Alabama,AL,01073,1,159,1,1,Docena
35061,Jefferson County,Alabama,AL,01073,1,1633,1,1,Dolomite
35062,Jefferson County,Alabama,AL,01073,1,8674,0.64,2,Dora
35062,Walker County,Alabama,AL,01127,1,8674,0.36,2,Dora
35063,Jefferson County,Alabama,AL,01073,1,3751,0.05,3,Empire
35063,Blount County,Alabama,AL,01009,1,3751,0.12,3,Empire
35063,Walker County,Alabama,AL,01127,1,3751,0.83,3,Empire
35064,Jefferson County,Alabama,AL,01073,1,9929,1,1,Fairfield
35068,Jefferson County,Alabama,AL,01073,1,8437,1,1,Fultondale
35070,Cullman County,Alabama,AL,01043,1,127,0,1,Garden City
35071,Jefferson County,Alabama,AL,01073,1,17627,1,1,Gardendale
35072,Coosa County,Alabama,AL,01037,1,4725,0.54,4,Goodwater
35072,Clay County,Alabama,AL,01027,1,4725,0.34,4,Goodwater
35072,Tallapoosa County,Alabama,AL,01123,1,4725,0.11,4,Goodwater
35072,Talladega County,Alabama,AL,01121,1,4725,0.01,4,Goodwater
35073,Jefferson County,Alabama,AL,01073,1,2839,1,1,Graysville
35074,Bibb County,Alabama,AL,01007,1,140,0,1,Green Pond
35077,Blount County,Alabama,AL,01009,1,13290,0,2,Hanceville
35077,Cullman County,Alabama,AL,01043,1,13290,1,2,Hanceville
35078,Shelby County,Alabama,AL,01117,1,2058,1,1,Harpersville
35079,Blount County,Alabama,AL,01009,1,9388,1,3,Hayden
35079,Cullman County,Alabama,AL,01043,1,9388,0,3,Hayden
35079,Jefferson County,Alabama,AL,01073,1,9388,0,3,Hayden
35080,Jefferson County,Alabama,AL,01073,1,19808,0,3,Helena
35080,Bibb County,Alabama,AL,01007,1,19808,0,3,Helena
35080,Shelby County,Alabama,AL,01117,1,19808,1,3,Helena
35082,Clay County,Alabama,AL,01027,1,0,0,2,Hollins
35082,Talladega County,Alabama,AL,01121,1,0,1,2,Hollins
35083,Cullman County,Alabama,AL,01043,1,4276,1,1,Holly Pond
35085,Chilton County,Alabama,AL,01021,1,8786,1,1,Jemison
35087,Cullman County,Alabama,AL,01043,1,2338,0.48,3,Joppa
35087,Marshall County,Alabama,AL,01095,1,2338,0.09,3,Joppa
35087,Morgan County,Alabama,AL,01103,1,2338,0.43,3,Joppa
35089,Tallapoosa County,Alabama,AL,01123,1,1901,0.24,2,Kellyton
35089,Coosa County,Alabama,AL,01037,1,1901,0.76,2,Kellyton
35091,Jefferson County,Alabama,AL,01073,1,3632,1,1,Kimberly
35094,Shelby County,Alabama,AL,01117,1,15333,0.07,3,Leeds
35094,St. Clair County,Alabama,AL,01115,1,15333,0.21,3,Leeds
35094,Jefferson County,Alabama,AL,01073,1,15333,0.72,3,Leeds
35096,Talladega County,Alabama,AL,01121,1,9201,0.97,2,Lincoln
35096,Calhoun County,Alabama,AL,01015,1,9201,0.03,2,Lincoln
35097,Blount County,Alabama,AL,01009,1,1857,1,1,Locust Fork
35098,Winston County,Alabama,AL,01133,1,1118,0.16,2,Logan
35098,Cullman County,Alabama,AL,01043,1,1118,0.84,2,Logan
35111,Bibb County,Alabama,AL,01007,1,20661,0.02,3,Mc Calla
35111,Jefferson County,Alabama,AL,01073,1,20661,0.46,3,Mc Calla
35111,Tuscaloosa County,Alabama,AL,01125,1,20661,0.53,3,Mc Calla
35112,St. Clair County,Alabama,AL,01115,1,71,0,1,Margaret
35114,Shelby County,Alabama,AL,01117,1,7777,1,1,Alabaster
35115,Chilton County,Alabama,AL,01021,1,16911,0.18,3,Montevallo
35115,Shelby County,Alabama,AL,01117,1,16911,0.81,3,Montevallo
35115,Bibb County,Alabama,AL,01007,1,16911,0.01,3,Montevallo
35116,Jefferson County,Alabama,AL,01073,1,4912,1,1,Morris
35117,Jefferson County,Alabama,AL,01073,1,5091,1,1,Mount Olive
35118,Jefferson County,Alabama,AL,01073,1,3131,1,1,Mulga
35119,Jefferson County,Alabama,AL,01073,1,0,0,1,New Castle
35120,St. Clair County,Alabama,AL,01115,1,17735,1,1,Odenville
35121,St. Clair County,Alabama,AL,01115,1,16207,0.01,3,Oneonta
35121,Etowah County,Alabama,AL,01055,1,16207,0,3,Oneonta
35121,Blount County,Alabama,AL,01009,1,16207,0.99,3,Oneonta
